Ano,Unidade_Orçamentária,Pago
2000,Departamento Nacional de Produção Mineral,181803
2000,Administração Direta,65835584
2000,Arquivo Nacional,295640
2000,Fundação Biblioteca Nacional,18674884
2000,Fundação Casa de Rui Barbosa,7064554
2000,Fundação Cultural Palmares,6582968
2000,Fundação Nacional de Artes,18559985
2000,Fundo Nacional de Cultura,25988822
2000,Instituto do Patrimônio Histórico e Artístico Nacional,49928783
2001,Departamento Nacional de Produção Mineral,35822
2001,Administração Direta,64099992
2001,Arquivo Nacional,873166
2001,Fundação Biblioteca Nacional,20508175
2001,Fundação Casa de Rui Barbosa,7582578
2001,Fundação Cultural Palmares,4985100
2001,Fundação Nacional de Artes,21620441
2001,Fundo Nacional de Cultura,30588954
2001,Instituto do Patrimônio Histórico e Artístico Nacional,50491343
2002,Administração Direta,46252844
2002,Arquivo Nacional,2255601
2002,Fundação Biblioteca Nacional,23796716
2002,Fundação Casa de Rui Barbosa,9371498
2002,Fundação Cultural Palmares,7140515
2002,Fundação Nacional de Artes,21798358
2002,Fundação Nacional do Índio,448924
2002,Fundo Nacional de Cultura,36397829
2002,Instituto do Patrimônio Histórico e Artístico Nacional,62312636
2003,Administração Direta,33435556
2003,Arquivo Nacional,657495
2003,Fundação Biblioteca Nacional,22127891
2003,Fundação Casa de Rui Barbosa,9428548
2003,Fundação Cultural Palmares,6569013
2003,Fundação Nacional de Artes,20604965
2003,Fundação Nacional do Índio,611161
2003,Fundo Nacional de Cultura,24881679
2003,Instituto do Patrimônio Histórico e Artístico Nacional,65703430
2004,Administração Direta,46835079
2004,Fundação Biblioteca Nacional,26915237
2004,Fundação Casa de Rui Barbosa,10618212
2004,Fundação Cultural Palmares,7390556
2004,Fundação Nacional de Artes,22105942
2004,Fundação Nacional do Índio,229084
2004,Fundo Nacional de Cultura,48551042
2004,Instituto do Patrimônio Histórico e Artístico Nacional,73671286
2005,Administração Direta,109985627
2005,Agência Nacional do Cinema,29863092
2005,Fundação Biblioteca Nacional,25186949
2005,Fundação Casa de Rui Barbosa,10274821
2005,Fundação Cultural Palmares,8920009
2005,Fundação Nacional de Artes,22411421
2005,Fundação Nacional do Índio,536512
2005,Fundo Nacional de Cultura,69450638
2005,Instituto do Patrimônio Histórico e Artístico Nacional,77913836
2006,Administração Direta,95723632
2006,Agência Nacional do Cinema,33343542
2006,Fundação Biblioteca Nacional,34005297
2006,Fundação Casa de Rui Barbosa,13410478
2006,Fundação Cultural Palmares,9415066
2006,Fundação Nacional de Artes,37855127
2006,Fundação Nacional do Índio,770364
2006,Fundo Nacional de Cultura,51624962
2006,Instituto do Patrimônio Histórico e Artístico Nacional,117685376
2007,Administração Direta,86642415
2007,Agência Nacional do Cinema,39660151
2007,Fundação Biblioteca Nacional,37012728
2007,Fundação Casa de Rui Barbosa,13944603
2007,Fundação Cultural Palmares,9055811
2007,Fundação Nacional de Artes,36012242
2007,Fundação Nacional do Índio,754339
2007,Fundo Nacional de Cultura,77637716
2007,Instituto do Patrimônio Histórico e Artístico Nacional,130666146
2008,Administração Direta,99108853
2008,Agência Nacional do Cinema,43506641
2008,Fundação Biblioteca Nacional,59525051
2008,Fundação Casa de Rui Barbosa,18041259
2008,Fundação Cultural Palmares,7856393
2008,Fundação Nacional de Artes,45953420
2008,Fundação Nacional do Índio,1373719
2008,Fundo Nacional de Cultura,119096431
2008,Instituto do Patrimônio Histórico e Artístico Nacional,150897027
2009,Administração Direta,112778838
2009,Agência Nacional do Cinema,56157199
2009,Departamento Nacional de Obras Contra as Secas - DNOCS,168430
2009,Fundação Biblioteca Nacional,48417065
2009,Fundação Casa de Rui Barbosa,21045562
2009,Fundação Cultural Palmares,11959767
2009,Fundação Nacional de Artes,62374026
2009,Fundação Nacional do Índio,1170137
2009,Fundo Nacional de Cultura,218932603
2009,Instituto Brasileiro de Museus,0
2009,Instituto do Patrimônio Histórico e Artístico Nacional,160470256
2010,Administração Direta,185395413
2010,Agência Nacional do Cinema,62936121
2010,Departamento Nacional de Obras Contra as Secas - DNOCS,112040
2010,Fundação Biblioteca Nacional,51118244
2010,Fundação Casa de Rui Barbosa,21169691
2010,Fundação Cultural Palmares,11837989
