Ano,Função,Projeto de Lei,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
2000,01 - Legislativa,1723951946,1761249187,1820859684,1757003918,1757003918,1653838777
2000,02 - Judiciária,5516662130,5464798527,6537555350,6478450642,6478450642,6272446993
2000,03 - Essencial à Justiça,539370806,540135405,696746521,679352430,679352430,661558361
2000,04 - Administração,6049280656,5969024183,7196178329,6587346099,6587307707,4986841601
2000,05 - Defesa Nacional,9148686512,9166773309,10873339677,10634132067,10634132067,9548515495
2000,06 - Segurança Pública,1364188328,1555312157,2431554178,2188593405,2188593405,1982256659
2000,07 - Relações Exteriores,595704287,607328373,730460623,748364647,748364647,740008418
2000,08 - Assistência Social,3900846609,4173290274,4581692493,4441667223,4441599575,4288533823
2000,09 - Previdência Social,86574682706,86508769470,93896145508,93407569119,93407569119,92420388144
2000,10 - Saúde,17354357914,18077915475,20997815438,20270121061,20270121061,18480645284
2000,11 - Trabalho,6249209125,6459242920,6765724461,6246394314,6246394314,6088871944
2000,12 - Educação,9619039718,9878708572,11443850164,10616364162,10616364162,8975145306
2000,13 - Cultura,203973393,256559100,292601588,238219657,238219657,193113003
2000,14 - Direitos da Cidadania,362851330,419887993,499951218,406613243,406613243,347264111
2000,15 - Urbanismo,78741993,348394119,310731119,190421139,190421139,37529537
2000,16 - Habitação,1463875000,1809437606,1768346667,1606894222,1606894222,16163474
2000,17 - Saneamento,114004951,318562451,316361390,161087818,161087818,18485443
2000,18 - Gestão Ambiental,853062562,1638202529,1740050097,1138987491,1138987491,815676584
2000,19 - Ciência e Tecnologia,1239804645,1260903945,1486642558,1244858671,1244858671,1141019994
2000,20 - Agricultura,5707288607,6141509583,6537189023,5086209150,5082288165,4282816536
2000,21 - Organização Agrária,1295868000,1328325821,1341981061,1093366952,1093366952,807047172
2000,22 - Indústria,330430699,345322593,423913943,322578124,322578124,263092234
2000,23 - Comércio e Serviços,1926746137,2037331846,2024924846,1863604826,1863604826,1695284220
2000,24 - Comunicações,506093728,497924417,545264828,403502901,403502901,308374176
2000,25 - Energia,730317034,719604455,750178021,524051722,524051722,442644851
2000,26 - Transporte,2885671530,5154810432,5353032337,3289132525,3289132525,2036355149
2000,27 - Desporto e Lazer,49314917,186928111,228113611,173816799,173816799,69104625
2000,28 - Encargos Especiais,836445892513,838990563886,843424697068,434587838226,434587838226,430521468889
2000,99 - Reserva de Contingência,1703863244,1190455718,2282797,0,0,0
2001,01 - Legislativa,2103609282,2139524137,2211659569,2109472834,2109472834,1944344027
2001,02 - Judiciária,6325202554,6362190727,6819131398,6715564221,6715564221,6455451202
2001,03 - Essencial à Justiça,789297302,802944200,876335594,859504600,859504600,825599192
2001,04 - Administração,7762630075,8008009774,8166019613,7265908231,7265908231,5466618904
2001,05 - Defesa Nacional,9886865670,10058349340,11866974774,11891512769,11891512769,10336773648
2001,06 - Segurança Pública,2435033198,2514297771,2789770094,2604286208,2604286208,2197526975
2001,07 - Relações Exteriores,715629707,673101331,918767737,925811930,925811930,916736223
2001,08 - Assistência Social,4714370471,5195719844,5485405263,5298265332,5298265332,5025919211
2001,09 - Previdência Social,99570625337,102015792865,108015233867,107544257918,107544257918,106882675343
2001,10 - Saúde,22397836778,23640100945,24585703621,23633858199,23633858199,20686186734
2001,11 - Trabalho,6811821854,7468723775,7617834103,7441121082,7441121082,7194544042
2001,12 - Educação,12482738743,13222810952,13786465923,11637340857,11637340857,10457803100
2001,13 - Cultura,216025327,302981098,324562763,278093428,278093428,200785574
2001,14 - Direitos da Cidadania,511487870,613645687,691197717,584421152,584421152,496522183
2001,15 - Urbanismo,109005394,724746525,721316525,491378432,491378432,90023732
2001,16 - Habitação,1085020905,1369183579,1368111305,357133784,357133784,58276427
2001,17 - Saneamento,194495701,436192016,437852016,233417737,233417737,57061001
2001,18 - Gestão Ambiental,1547456841,2423804222,2470993095,1899300516,1899300516,1039511158
2001,19 - Ciência e Tecnologia,2042787914,2067076587,2042151147,1591800136,1591800136,1425570468
2001,20 - Agricultura,7198649032,7791237022,8634943238,5481687637,5481565846,4612889506
2001,21 - Organização Agrária,1484903360,1543088385,1561856481,1329932290,1329932290,1037430151
2001,22 - Indústria,413189856,454490242,566928692,476756266,476756266,334004582
2001,23 - Comércio e Serviços,2530816298,2741538875,2976768844,2782146980,2782146980,2261072877
2001,24 - Comunicações,1757395663,1755497721,1985873661,456143416,456143416,395439725
2001,25 - Energia,1124916795,1131936795,1186319771,726380591,726380591,611283036
2001,26 - Transporte,3666723391,5062970126,5280337876,3961787698,3961787698,2339205711
2001,27 - Desporto e Lazer,120309508,361588695,378903805,297834363,297834363,83499116
2001,28 - Encargos Especiais,732014268853,734320015900,750195360573,394559867399,394559867399,386233489650
2001,99 - Reserva de Contingência,6121459057,5000801256,3605999520,0,0,0
2002,01 - Legislativa,2453241904,2489833631,2574516307,2474354441,2474354441,2368870092
2002,02 - Judiciária,7278681210,7333357090,8380215959,8186935072,8186935072,7813222114
2002,03 - Essencial à Justiça,962267764,969745110,1062349595,1043701170,1043701170,1012062394
2002,04 - Administração,10082584153,10083506902,9208116323,8228743315,8228736910,6763206924
2002,05 - Defesa Nacional,11840299088,11953330902,13376131432,12616520363,12616520363,11564559656
2002,06 - Segurança Pública,1728780745,1835848532,2516590389,2202448059,2202448059,1786401152
2002,07 - Relações Exteriores,861803419,881111351,1165878149,1328092746,1328092746,1318786635
2002,08 - Assistência Social,6066454083,6419535783,6611338099,6513151120,6513151120,6124141387
2002,09 - Previdência Social,114123135900,114726906776,123877647449,123218090688,123218090688,122485603274
2002,10 - Saúde,24914916796,25885809979,26969885296,25434639564,25434639564,23148915645
2002,11 - Trabalho,7634369251,7856888635,8799096542,8477770625,8477770625,8334340280
2002,12 - Educação,13689178280,14242405815,14656464829,13222748096,13222748096,12344522461
2002,13 - Cultura,249780274,359240394,377702254,239527228,239527228,209774909
2002,14 - Direitos da Cidadania,413296869,506623494,630081502,411265028,411265028,342255086
2002,15 - Urbanismo,63450348,794940015,797140575,486549713,486549713,91873681
2002,16 - Habitação,58024229,224894727,226098727,127168630,127168630,8567461
2002,17 - Saneamento,87271031,248983745,248983745,97142780,97142780,6206067
2002,18 - Gestão Ambiental,1308627623,2790416084,2831396363,1265253952,1264880952,923961391
2002,19 - Ciência e Tecnologia,1943393124,2017764884,2198176605,1506710314,1506710314,1382740715
2002,20 - Agricultura,8486237618,8809593583,8615612397,5501741786,5500405861,4894330546
2002,21 - Organização Agrária,1537014162,1566234362,1580405457,1380607307,1380607307,1208852353
2002,22 - Indústria,440573096,474551926,606849846,436625066,417508350,364481514
2002,23 - Comércio e Serviços,2514165811,2681798643,2785974282,1830527023,1830527023,1615748278
2002,24 - Comunicações,1810451090,1805822298,1836972613,566380348,566380348,517775633
2002,25 - Energia,1277576197,1282576197,8323374415,7819223729,7819223729,6617606146
2002,26 - Transporte,4129060831,5767684408,7645244150,5142470616,5142470616,3314651538
2002,27 - Desporto e Lazer,141734122,378035071,364662191,264676714,264676714,81013662
2002,28 - Encargos Especiais,403374261577,409129240745,446107397704,434925915800,434925856444,430046554248
2002,99 - Reserva de Contingência,8503697365,6892926878,4555004685,0,0,0
2003,01 - Legislativa,2809914938,2929314938,3175098034,3075018192,3075018192,2983898751
2003,02 - Judiciária,8442269588,8622744588,8615254066,8359812944,8359812944,7899429251
2003,03 - Essencial à Justiça,1363613826,1387733826,1402779296,1356059670,1356059636,1327030328
2003,04 - Administração,8544966207,8898591161,8257064811,7390487978,7362507102,6810125026
2003,05 - Defesa Nacional,12530701625,12769133955,12791831371,11570137312,11570137312,10736123573
2003,06 - Segurança Pública,2403781460,2631444502,2826060972,2405206075,2405123126,2091900947
2003,07 - Relações Exteriores,941380896,946336986,1215513335,1164099968,1164074400,1135111828
2003,08 - Assistência Social,6841318873,8719318985,9240406897,8416353101,8416353101,7778375007
2003,09 - Previdência Social,131806160039,131838621594,145676085176,145477600267,145477548884,142780640064
2003,10 - Saúde,25652059695,27782999932,28025668858,27173569935,27171848048,25162828963
2003,11 - Trabalho,8226407251,8216129633,10058367537,9495718206,9494835293,9480834251
2003,12 - Educação,14122015540,14461900620,14940247043,14226125146,14224269574,12819444790
2003,13 - Cultura,257595853,348554336,353383767,231451079,231342792,184019736
2003,14 - Direitos da Cidadania,484469999,620892305,604551562,394445343,394444982,335276916
2003,15 - Urbanismo,29531211,912976029,915500926,342852546,342852546,76940173
2003,16 - Habitação,22375000,296063351,370449112,122255251,122255251,10922039
2003,17 - Saneamento,33589000,224239368,225232898,58683470,58683470,5744872
2003,18 - Gestão Ambiental,1133907189,2326202777,2409727100,947852612,947749417,707462808
2003,19 - Ciência e Tecnologia,2050264927,2093426527,2133577756,1993307060,1993196407,1654688216
2003,20 - Agricultura,8331187549,8998343065,9367545422,6505712612,6505710581,6150653851
2003,21 - Organização Agrária,1489374579,1599298679,1609737679,1429517261,1429517261,958991895
2003,22 - Indústria,494983405,564204442,571598475,439331015,439331015,408399888
2003,23 - Comércio e Serviços,2802300488,2983033488,2836831130,2066642030,2066541571,1807274822
2003,24 - Comunicações,901807385,1007800326,970095686,641494866,641494866,565724793
2003,25 - Energia,1940074405,2138639405,4435305082,3906494657,3905492856,1929610900
2003,26 - Transporte,3589860207,5277770230,5743840436,3048100006,3048096911,1867079429
2003,27 - Desporto e Lazer,144597000,357566940,359387740,159851493,159851493,47066444
2003,28 - Encargos Especiais,749168706275,756581226684,807099927512,614100499357,614092503303,598446252186
2003,99 - Reserva de Contingência,12972981521,20521574590,13737010385,0,0,0
2004,01 - Legislativa,3383651898,3429521898,3622955093,3535512778,3535512778,3319763118
2004,02 - Judiciária,9700404778,9793107086,10647497659,10530935648,10530935648,9805435496
2004,03 - Essencial à Justiça,1813295977,1830002302,2170759686,2126077659,2126077659,2019401004
2004,04 - Administração,11756166820,11817329428,10314069070,8936539231,8936536575,7994916210
2004,05 - Defesa Nacional,11799614210,11951908978,13891305504,13573310125,13573310125,12311334364
2004,06 - Segurança Pública,1966037082,2722409285,3213148017,2767855746,2767855746,2457027978
2004,07 - Relações Exteriores,1153843969,1157843969,1728494467,1311767193,1311767193,1247577127
2004,08 - Assistência Social,9277828453,13171487485,14337482572,13863354950,13863295002,13598207054
2004,09 - Previdência Social,160711597442,160707742715,166403725223,165509439470,165509439470,164779493837
2004,10 - Saúde,32368874621,33099373569,34414624640,32972885891,32972885891,30100172509
2004,11 - Trabalho,10419763142,10459941672,11297047508,10706740025,10706740025,10486080102
2004,12 - Educação,15364819136,13852006885,15514271978,14532927063,14532927063,13270236141
2004,13 - Cultura,301299144,417126402,434044436,323920554,323920554,236316434
2004,14 - Direitos da Cidadania,569546524,595004565,662239584,550343506,550343506,464898822
2004,15 - Urbanismo,690034568,1247321976,1668810966,1192707919,1192707919,719919222
2004,16 - Habitação,358000000,527432023,788744168,489399562,489399562,226858490
2004,17 - Saneamento,48245000,184990846,193422800,76549869,76549869,11268334
2004,18 - Gestão Ambiental,1580895325,1297410195,1562533907,1193450484,1193443083,924152125
2004,19 - Ciência e Tecnologia,2509755330,2597985917,2758784795,2607083479,2607080739,2283412122
2004,20 - Agricultura,11852360512,11946750301,12336628151,7638336031,7635751822,7120442563
