date,nlikes,nreplies,nretweets,NInterações
2021-06-26 00:07:10,3,0,0,3
2021-06-26 05:22:45,20,0,9,29
2021-06-26 09:51:23,0,0,0,0
2021-06-26 10:25:50,1,0,0,1
2021-06-26 10:51:06,0,0,0,0
2021-06-26 11:42:15,2,0,0,2
2021-06-26 15:14:20,2,0,0,2
2021-06-26 18:48:10,181,9,81,271
2021-06-26 19:03:08,370,11,144,525
2021-06-26 19:05:20,181,5,67,253
2021-06-26 19:05:59,2,0,1,3
2021-06-26 19:09:47,1,0,0,1
2021-06-26 19:10:58,0,0,0,0
2021-06-26 19:12:25,1,0,0,1
2021-06-26 19:14:49,4149,110,875,5134
2021-06-26 19:15:54,3,0,0,3
2021-06-26 19:16:42,1,0,1,2
2021-06-26 19:18:28,1475,23,282,1780
2021-06-26 19:18:51,4,0,0,4
2021-06-26 19:19:29,1,0,0,1
2021-06-26 19:20:11,3126,47,583,3756
2021-06-26 19:20:46,1,0,0,1
2021-06-26 19:21:38,56,4,21,81
2021-06-26 19:21:44,3,1,0,4
2021-06-26 19:22:01,0,0,0,0
2021-06-26 19:22:02,0,0,0,0
2021-06-26 19:22:05,3,1,0,4
2021-06-26 19:22:13,0,0,0,0
2021-06-26 19:22:14,1,0,0,1
2021-06-26 19:22:18,9,0,3,12
2021-06-26 19:22:20,8,0,4,12
2021-06-26 19:22:45,0,0,1,1
2021-06-26 19:23:18,2,0,0,2
2021-06-26 19:23:28,0,0,0,0
2021-06-26 19:24:15,10112,207,1676,11995
2021-06-26 19:24:46,17,1,1,19
2021-06-26 19:24:52,0,0,0,0
2021-06-26 19:24:56,0,0,0,0
2021-06-26 19:24:59,1,0,0,1
2021-06-26 19:25:21,0,1,0,1
2021-06-26 19:25:35,0,0,0,0
2021-06-26 19:25:41,1,0,0,1
2021-06-26 19:25:50,1,0,0,1
2021-06-26 19:25:52,19,0,1,20
2021-06-26 19:26:10,23,3,4,30
2021-06-26 19:26:25,3,0,0,3
2021-06-26 19:26:50,0,0,0,0
2021-06-26 19:26:55,0,0,0,0
2021-06-26 19:27:08,5,0,1,6
2021-06-26 19:27:28,3,0,0,3
2021-06-26 19:27:41,5,0,0,5
2021-06-26 19:28:02,113,9,46,168
2021-06-26 19:28:36,1,0,0,1
2021-06-26 19:28:48,18,0,14,32
2021-06-26 19:29:23,992,11,86,1089
2021-06-26 19:29:58,3,0,2,5
2021-06-26 19:30:06,0,0,0,0
2021-06-26 19:30:33,22,2,4,28
2021-06-26 19:30:36,2,0,0,2
2021-06-26 19:30:37,46,2,15,63
2021-06-26 19:30:48,0,0,0,0
2021-06-26 19:30:54,4,0,0,4
2021-06-26 19:30:56,140,4,55,199
2021-06-26 19:30:58,7,1,0,8
2021-06-26 19:31:04,1,0,0,1
2021-06-26 19:31:10,0,0,0,0
2021-06-26 19:31:35,0,0,0,0
2021-06-26 19:31:38,22,0,6,28
2021-06-26 19:31:48,0,0,0,0
2021-06-26 19:32:08,0,0,0,0
2021-06-26 19:32:16,0,0,0,0
2021-06-26 19:32:36,5,0,0,5
2021-06-26 19:32:54,0,0,0,0
2021-06-26 19:33:03,0,0,0,0
2021-06-26 19:33:08,2,0,0,2
2021-06-26 19:33:18,0,0,0,0
2021-06-26 19:33:32,5,1,0,6
2021-06-26 19:33:39,0,0,0,0
2021-06-26 19:33:47,3,1,0,4
2021-06-26 19:34:14,0,0,0,0
2021-06-26 19:34:20,0,0,0,0
2021-06-26 19:34:23,0,0,0,0
2021-06-26 19:34:24,0,0,0,0
